Title,Genre(s),Developer(s),Publisher(s)
Dragon Ball FighterZ,Fighting,Arc System Works,Bandai Namco Entertainment
Dragon Ball Xenoverse,Fighting,Dimps,Bandai Namco Entertainment
Dragon Ball Xenoverse 2,Fighting,Dimps,Bandai Namco Entertainment
Dragon Ball Z Kakarot,Action role-playing,CyberConnect2,Bandai Namco Entertainment
Dragon Quest Builders 2,Action role-playing,Square Enix,Square Enix
Drive On Moscow,Strategy,Shenandoah Studio,Slitherine Software
Dungeon of the Endless,Adventure,Amplitude Studios,Amplitude Studios
Dungeons 3,"Strategy, simulation",Realmforge Studios,Kalypso Media
Dying Light,Action role-playingsurvival horror,Techland,Warner Bros. Interactive Entertainment
Dying Light 2,Action role-playingsurvival horror,Techland,Square Enix
EA Sports UFC,"Fighting, Sports",EA Canada,EA Sports
EA Sports UFC 2,"Fighting, Sports",EA Canada,EA Sports
EA Sports UFC 3,"Fighting, Sports",EA Canada,EA Sports
EA Sports UFC 4,"Fighting, Sports",EA Canada,EA Sports
Earth Atlantis,Shoot 'em up,Pixel Perfex,Headup Games
Eastshade,Adventure,Eastshade Studios,Eastshade Studios
eFootball Pro Evolution Soccer 2020,Sports,Konami,Konami
Elden Ring,Action role-playing,FromSoftware,Bandai Namco Entertainment
The Elder Scrolls Online,Massively multiplayer online role-playing,ZeniMax Online Studios,Bethesda Softworks
Electronic Super Joy,Platformer,Loot Interactive,Michael Todd Games
Elite Dangerous,Space trading and combat,Frontier Developments,Frontier Developments
Elliot Quest,"Platform-adventure, Metroidvania",Ansimuz Games,Ansimuz Games
Emily Wants to Play,Survival horror,Shawn Hitchcock,SKH Apps
Enter the Gungeon,"Roguelike, shoot 'em up",Dodge Roll,Devolver Digital
The Escapists,Action,Mouldy Toof Studios,Team17
The Escapists 2,Action,Mouldy Toof Studios,Team17
Everspace,Shooter,Rockfish Games,Rockfish Games
Evil Genius 2 World Domination,Real-time strategysimulation,Rebellion Developments,Rebellion Developments
The Evil Within,Survival horror,Tango Gameworks,Bethesda Softworks
The Evil Within 2,Survival horror,Tango Gameworks,Bethesda Softworks
Evoland Legendary Edition,Role-playing,Shiro Games,Shiro Games
The Falconeer,Simulation,Tomas Sala,Wired Productions
Fall Guys Ultimate Knockout,Battle royale,Mediatonic,Devolver Digital
