Title,Genre(s),Developer(s),Publisher(s)
Borderlands: The Handsome Collection,"Action role-playing, first-person shooter",Gearbox Software,2K Games
Bound,"3D platform, art",Plastic,Sony Interactive Entertainment
Boundary,Tactical shooter,Surgical Scalpels,Surgical Scalpels
Bound by Flame,Action role-playing,Spiders,Focus Home Interactive
Boundless,Sandbox,Wonderstruck Games,Wonderstruck Games
Bounty Battle,Fighting,Dark Screen Games,Merge Games
Bow to Blood: Last Captain Standing,Action-adventure,Tribetoy,Tribetoy
BPM: Bullets Per Minute,First-person shooterroguelike,Awe Interactive,Awe Interactive
BQM: BlockQuest Maker,Role-playing,Wonderland Kazakiri,Wonderland Kazakiri
Braid Anniversary Edition,Puzzleplatform,Thekla,Thekla
Braveland Trilogy,Role-playing,Ellada Games,Ellada Games
Brawl,Actionparty,Bloober Team,Bloober Team
Brawlout,Fighting,Angry Mob Games,Angry Mob Games
Breakers Collection,Fighting,Visco Corporation,QuByte Interactive
Breakout: Recharged,Puzzle,Adamvision StudiosSneakyBox,"Atari, Inc."
Breakthrough Gaming Arcade: Baseball,Arcade,Breakthrough Gaming,Breakthrough Gaming
Breakthrough Gaming Arcade: Football,Arcade,Breakthrough Gaming,Breakthrough Gaming
Breakthrough Gaming Arcade: Skateboarding,Arcade,Breakthrough Gaming,Breakthrough Gaming
Breakthrough Gaming Arcade: Track,Arcade,Breakthrough Gaming,Breakthrough Gaming
The Bridge,Puzzle,TQAG,TQAG
Bridge Constructor,Puzzlesimulation,ClockStone,Headup Games
Bridge Constructor Portal,Puzzlesimulation,ClockStone,Headup Games
Bridge Constructor Stunts,Puzzlesimulation,ClockStone,Headup Games
Bridge Constructor: The Walking Dead,Puzzlesimulation,Headup Games,Headup Games
Brief Battles,Party brawler,Juicy Cupcake,Juicy Cupcake
Brigandine: The Legend of Runersia,Tactical role-playing,Matrix Software,Happinet
Bright Memory: Infinite,First-person shooter,FYQD Studio,Playism
Broforce,"Platform, run and gun",Free Lives,Devolver Digital
Broken Age: The Complete Adventure,Point-and-click adventure,Double Fine Productions,Double Fine Productions
